Village,Water Body,Type,Date,
Djanta Sara,Bouta Abakar,Entiere,9/16/23,
Djanta Sara,Bouta Absakine,Entiere,9/16/23,
Djanta Sara,Bouta Adiguim,Entiere,9/16/23,
Djanta Sara,Bouta Alain,Entiere,9/20/23,
Djanta Sara,Bouta Ali,Entiere,9/16/23,
Djanta Sara,Bouta Bore 1,Entiere,8/22/23,
Djanta Sara,Bouta Bore 1,Entiere,7/26/23,
Djanta Sara,Bouta Bore 2,Entiere,8/22/23,
Djanta Sara,Bouta Bore 3,Entiere,8/22/23,
Djanta Sara,Bouta Bore 4,Entiere,8/22/23,
Djanta Sara,Bouta Djargui 1,Entiere,8/22/23,
Djanta Sara,Bouta Djargui 2,Entiere,8/22/23,
Djanta Sara,Bouta Djargui 3,Entiere,8/22/23,
Djanta Sara,Bouta Goulaye,Entiere,9/20/23,
Djanta Sara,Bouta Joseph,Entiere,9/16/23,
Djanta Sara,Bouta Lizet,Entiere,9/16/23,
Djanta Sara,Bouta Mahamat,Entiere,9/20/23,
Djanta Sara,Bouta Odingar,Entiere,9/20/23,
Djanta Sara,Bouta Remi,Entiere,9/20/23,
Djanta Sara,Djargue (1),,4/5/23,
Djanta Sara,Djargue (1),,2/5/23,
Djanta Sara,Djargue (1),,7/6/23,
Djanta Sara,Djargue (1),Entiere,7/19/23,
Djanta Sara,Djargue (1),Entiere,6/24/23,
Djanta Sara,Djargue (1),,3/13/23,
Djanta Sara,Djargue (2),,4/5/23,
Djanta Sara,Djargue (2),,4/29/23,
Djanta Sara,Djargue (2),Entiere,4/26/23,
Djanta Sara,Djargue (2),,2/4/23,
Djanta Sara,Djargue (2),,7/6/23,
Djanta Sara,Djargue (2),Entiere,6/24/23,
Djanta Sara,Djargue (2),,3/13/23,
Djanta Sara,Djargue (2),Entiere,3/30/23,
Djanta Sara,Djargue (3),,4/5/23,
Djanta Sara,Djargue (3),Entiere,4/26/23,
Djanta Sara,Djargue (3),,2/5/23,
Djanta Sara,Djargue (3),Entiere,7/19/23,
Djanta Sara,Djargue (3),Entiere,6/24/23,
Djanta Sara,Djargue (3),Entiere,3/30/23,
Djanta Sara,Djargue (4),Entiere,8/15/23,
Djanta Sara,Djargue (4),Entiere,7/19/23,
Djanta Sara,Djargue (4),Entiere,6/24/23,
Djanta Sara,Djargue (5),Entiere,8/15/23,
Djanta Sara,Galile,entiere,2/21/23,
Djanta Sara,Garyam,Barriere,5/10/23,
Djanta Sara,Golong Bagaye,Barriere,2/20/23,
Djanta Sara,Golong Matnan 1,Entiere,8/15/23,
Djanta Sara,Golong Matnan 1,Entiere,7/19/23,
Djanta Sara,Golong Matnan 1,Entiere,6/24/23,
Djanta Sara,Golong Matnan 2 S1,Section,6/5/23,
